symptom,disease
"Upper Abdominal Pain, Vomiting, Feeling Sick Nausea and Loss Of Appetite",Inflammation Of Pancreas
"Upper Abdominal Pain, Vomiting, Feeling Sick Nausea and Loss Of Appetite",Gallbladder Cancer
"Upper Abdominal Pain, Vomiting, Feeling Sick Nausea and Loss Of Appetite",Gallstone
Upper abdominal pain,Acute cholecystitis
Upper abdominal pain,Gallstone
Upper abdominal pain,Acid reflux
Upper abdominal pain,Inflammation of pancreas
Upper abdominal pain,Stomach Cancer
Upper abdominal pain,Bile duct Cancer
Upper abdominal pain,Hepatitis
Upper abdominal pain,Recurrent pancreatitis
Upper abdominal pain,Peptic ulcer
Upper abdominal pain and Abdominal pain after eating,Gallstone
Upper abdominal pain and Abdominal pain after eating,Acid reflux
Upper abdominal pain and Abdominal pain spreading to shoulder blade,Acute cholecystitis
Upper abdominal pain and Abdominal pain spreading to shoulder blade,Inflammation of pancreas
Upper abdominal pain and Abdominal pain worse on coughing,Acute cholecystitis
Upper abdominal pain and Abdominal pain worse on coughing,Inflammation of pancreas
"Upper abdominal pain and Continuous, unexplained weight loss",Stomach Cancer
"Upper abdominal pain and Continuous, unexplained weight loss",Bile duct Cancer
Upper abdominal pain and Right sided abdominal pain,Acute cholecystitis
Upper abdominal pain and Right sided abdominal pain,Bile duct Cancer
Upper abdominal pain and Right sided abdominal pain,Hepatitis
Upper abdominal pain and Right sided abdominal pain,Gallstone
"Upper abdominal pain, Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing",Inflammation of pancreas
"Upper abdominal pain, Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing",Acute cholecystitis
Urgent desire to pass urine,Prostate Cancer
Urgent desire to pass urine,Bladder Cancer
Urgent desire to pass urine,Cystitis
Urgent desire to pass urine,Prostatic enlargement
Urgent desire to pass urine,Pyelonephritis
Urgent desire to pass urine and Difficulty passing urine,Prostate Cancer
Urgent desire to pass urine and Difficulty passing urine,Pyelonephritis
Urgent desire to pass urine and Difficulty passing urine,Cystitis
Urgent desire to pass urine and Difficulty passing urine,Bladder Cancer
Urgent desire to pass urine and Weak flow of urine,Prostate Cancer
Urgent desire to pass urine and Weak flow of urine,Prostatic enlargement
Vaginal bleeding after menopause,Endometrial Cancer
Vaginal bleeding after menopause,Carcinoma of cervix
Vaginal bleeding after menopause and Bleeding between periods,Endometrial Cancer
Vaginal bleeding after menopause and Bleeding between periods,Carcinoma of cervix
Vaginal bleeding after sex,Pelvic Inflammatory Disease
Vaginal bleeding after sex,Carcinoma of cervix
Vaginal bleeding after sex,Chlamydia
Vaginal bleeding after sex and Bleeding between periods,Chlamydia
Vaginal bleeding after sex and Bleeding between periods,Pelvic Inflammatory Disease
Vaginal bleeding after sex and Bleeding between periods,Carcinoma of cervix
Vaginal bleeding after sex and Difficulty passing urine,Chlamydia
Vaginal bleeding after sex and Difficulty passing urine,Pelvic Inflammatory Disease
Vaginal bleeding after sex and Pain during sex,Pelvic Inflammatory Disease
Vaginal bleeding after sex and Pain during sex,Chlamydia
Vaginal bleeding after sex and Unusual vaginal discharge,Chlamydia
Vaginal bleeding after sex and Unusual vaginal discharge,Carcinoma of cervix
Vaginal bleeding after sex and Unusual vaginal discharge,Pelvic Inflammatory Disease
"Vaginal bleeding after sex, Bleeding between periods and Pain during sex",Pelvic Inflammatory Disease
"Vaginal bleeding after sex, Bleeding between periods and Pain during sex",Chlamydia
"Vaginal bleeding after sex, Difficulty passing urine and Bleeding between periods",Chlamydia
"Vaginal bleeding after sex, Difficulty passing urine and Bleeding between periods",Pelvic Inflammatory Disease
"Vaginal bleeding after sex, Difficulty passing urine and Pain during sex",Pelvic Inflammatory Disease
"Vaginal bleeding after sex, Difficulty passing urine and Pain during sex",Chlamydia
"Vaginal bleeding after sex, Unusual vaginal discharge and Bleeding between periods",Pelvic Inflammatory Disease
"Vaginal bleeding after sex, Unusual vaginal discharge and Bleeding between periods",Carcinoma of cervix
"Vaginal bleeding after sex, Unusual vaginal discharge and Bleeding between periods",Chlamydia
"Vaginal bleeding after sex, Unusual vaginal discharge and Difficulty passing urine",Pelvic Inflammatory Disease
"Vaginal bleeding after sex, Unusual vaginal discharge and Difficulty passing urine",Chlamydia
"Vaginal bleeding after sex, Unusual vaginal discharge and Pain during sex",Chlamydia
"Vaginal bleeding after sex, Unusual vaginal discharge and Pain during sex",Pelvic Inflammatory Disease
Vaginal dryness,Menopause
Vaginal dryness,Vaginal pain
Vaginal lump or sore,Uterine prolapse
Vaginal lump or sore,Genital warts in Women
Vaginal rash,Genital Herpes in Women
Vaginal rash,Kawasaki disease
Vaginal rash,Vulval Cancer
Vaginal rash,Genital warts in Women
Vomiting,Hepatitis
Vomiting,High pressure headache
Vomiting,Recurrent pancreatitis
Vomiting,Liver cancer
Vomiting,Major head injury
Vomiting,Brain Cancer
Vomiting,Morning sickness
Vomiting,Alcohol poisoning
Vomiting,Gastroenteritis
Vomiting,Oesophageal Cancer
Vomiting and Abdominal pain worse on coughing,Inflammation of pancreas
Vomiting and Abdominal pain worse on coughing,Diverticulitis
Vomiting and Bloated Stomach,Liver Cancer
Vomiting and Bloated Stomach,Hirschsprung S Disease
Vomiting and Blurred vision,High pressure headache
Vomiting and Blurred vision,Subarachnoid haemorrhage
Vomiting and Confusion which is new,Alcohol poisoning
Vomiting and Confusion which is new,Major head injury
"Vomiting and Continuous, unexplained weight loss",Liver cancer
"Vomiting and Continuous, unexplained weight loss",Oesophageal Cancer
Vomiting and Feel unbalanced,Major head injury
Vomiting and Feel unbalanced,Alcohol poisoning
Vomiting and Headache getting worse over time,Brain Cancer
Vomiting and Headache getting worse over time,High pressure headache
Vomiting and Headache on waking up,Brain Cancer
Vomiting and Headache on waking up,High pressure headache
Vomiting and Severe headache,High pressure headache
Vomiting and Severe headache,Brain Cancer
Vomiting and Severe headache,Subarachnoid haemorrhage
Vomiting and Slurred speech,Alcohol poisoning
Vomiting and Slurred speech,Major head injury
Vomiting and Unusually tired,Heat stroke
Vomiting and Unusually tired,Morning sickness
Vomiting and Unusually tired,Hepatitis
Vomiting and Unusually tired,Liver cancer
Vomiting and Upper abdominal pain,Inflammation of pancreas
Vomiting and Upper abdominal pain,Hepatitis
Vomiting and Upper abdominal pain,Recurrent pancreatitis
"Vomiting, Blurred vision and Severe headache",High pressure headache
"Vomiting, Blurred vision and Severe headache",Subarachnoid haemorrhage
"Vomiting, Feel unbalanced and Confusion which is new",Alcohol poisoning
"Vomiting, Feel unbalanced and Confusion which is new",Major head injury
"Vomiting, Feeling Sick Nausea and Headache",Carbon Monoxide Poisoning
"Vomiting, Feeling Sick Nausea and Headache",Hi B
"Vomiting, Feeling Sick Nausea and Headache",Encephalitis
"Vomiting, Feeling Sick Nausea, Burning Pain In Chest Or Upper Abdomen, Loss Of Appetite and Bloated Stomach",Inflammation Of Pancreas
"Vomiting, Feeling Sick Nausea, Burning Pain In Chest Or Upper Abdomen, Loss Of Appetite and Bloated Stomach",Gastroparesis
"Vomiting, Slurred speech and Confusion which is new",Alcohol poisoning
"Vomiting, Slurred speech and Confusion which is new",Major head injury
"Vomiting, Slurred speech and Feel unbalanced",Major head injury
"Vomiting, Slurred speech and Feel unbalanced",Alcohol poisoning
Watery eyes,Hay fever
Watery eyes,Allergic rhinitis
Watery eyes,Measles
Weak flow of urine,Prostate Cancer
Weak flow of urine,Uterine prolapse
Weak flow of urine,Prostatic enlargement
Weakness in the legs,Guillain-Barré syndrome
Weakness in the legs,Stroke
Weakness of one side of the body,Carpal Tunnel Syndrome
Weakness of one side of the body,Stroke
Weakness of one side of the body,Aneurysm
Weakness of one side of the body and Numbness or  tingling on one side of body,Carpal Tunnel Syndrome
Weakness of one side of the body and Numbness or  tingling on one side of body,Aneurysm
Wheeze (noise on breathing out),Chronic obstructive lung disease
Wheeze (noise on breathing out),Asthma
Wheeze (noise on breathing out),Bronchitis
Wheeze (noise on breathing out),Asthma Attack
Wheeze (noise on breathing out),Acute exacerbation of COPD
Wheeze (noise on breathing out),Bronchiolitis
Wheeze (noise on breathing out) and Chest tightness,Asthma Attack
Wheeze (noise on breathing out) and Chest tightness,Asthma
Wheeze (noise on breathing out) and Cough which produces mucus,Bronchitis
Wheeze (noise on breathing out) and Cough which produces mucus,Chronic obstructive lung disease
Wheeze (noise on breathing out) and Cough which produces mucus,Acute exacerbation of COPD
White patches in mouth or tongue,Oral Thrush
White patches in mouth or tongue,Oral thrush
White patches in mouth or tongue and Mouth soreness,Oral thrush
White patches in mouth or tongue and Mouth soreness,Oral Thrush
White spots on tonsils,Tonsillitis
White spots on tonsils,Diphtheria
White spots on tonsils and Sore throat,Diphtheria
White spots on tonsils and Sore throat,Tonsillitis
White spots on tonsils and Unusually tired,Diphtheria
White spots on tonsils and Unusually tired,Tonsillitis
"White spots on tonsils, Sore throat and Unusually tired",Diphtheria
"White spots on tonsils, Sore throat and Unusually tired",Tonsillitis
Yellow skin or eyes,Liver cancer
Yellow skin or eyes,Bile duct Cancer
Yellow skin or eyes,Hepatitis
Yellow skin or eyes,Pancreatic Cancer
"Yellow skin or eyes and Continuous, unexplained weight loss",Liver cancer
"Yellow skin or eyes and Continuous, unexplained weight loss",Bile duct Cancer
"Yellow skin or eyes and Continuous, unexplained weight loss",Pancreatic Cancer
Yellow skin or eyes and Right sided abdominal pain,Bile duct Cancer
Yellow skin or eyes and Right sided abdominal pain,Hepatitis
Yellow skin or eyes and Unusually tired,Pancreatic Cancer
Yellow skin or eyes and Unusually tired,Hepatitis
Yellow skin or eyes and Unusually tired,Liver cancer
Yellow skin or eyes and Upper abdominal pain,Bile duct Cancer
Yellow skin or eyes and Upper abdominal pain,Hepatitis
Yellow skin or eyes and Vomiting,Hepatitis
Yellow skin or eyes and Vomiting,Liver cancer
"Yellow skin or eyes, Unusually tired and Continuous, unexplained weight loss",Liver cancer
"Yellow skin or eyes, Unusually tired and Continuous, unexplained weight loss",Pancreatic Cancer
"Yellow skin or eyes, Upper abdominal pain and Right sided abdominal pain",Hepatitis
"Yellow skin or eyes, Upper abdominal pain and Right sided abdominal pain",Bile duct Cancer
"Yellow skin or eyes, Vomiting and Unusually tired",Liver cancer
"Yellow skin or eyes, Vomiting and Unusually tired",Hepatitis
